Time elapsed, Glow State, Visible Light, Right Sleeve State, Right X Acc, Right Y Acc, Right Z Acc, Left Sleeve State, Left X Acc, Left Y Acc, Left Z Acc
1230.00,0,0,0,0.00,0.00,0.00,0,0.00,0.00,0.00
1730.00,0,0,0,8.60,0.42,-6.02,0,-8.48,4.20,-1.71
2370.00,0,2687,0,8.64,0.73,-4.40,0,-9.61,3.43,0.09
2870.00,0,2687,0,8.64,0.73,-4.40,0,-9.61,3.43,0.09
3370.00,0,2687,0,8.90,0.62,-4.82,0,-8.38,1.48,3.27
3870.00,0,2687,0,8.64,0.57,-5.45,0,-5.43,-0.82,5.00
4734.00,0,2303,0,9.57,1.01,-5.54,0,-9.67,0.87,-1.99
5238.00,0,2303,0,7.55,1.70,-4.54,0,-8.96,3.50,-2.02
5738.00,0,2303,0,7.55,1.70,-4.54,0,-8.96,3.50,-2.02
6238.00,0,2303,0,7.78,0.84,-6.02,0,-8.42,3.00,-2.66
7098.00,0,2493,0,8.13,1.02,-5.19,0,-8.24,2.54,-3.83
7602.00,0,2493,0,8.54,1.02,-5.45,0,-8.75,2.65,-4.60
8102.00,0,2493,0,8.54,1.02,-5.45,0,-8.75,2.65,-4.60
8602.00,0,2493,0,8.90,0.04,-4.98,0,-8.45,2.22,-4.23
9461.00,0,2436,0,8.35,1.57,-4.69,0,-9.44,1.00,-0.67
9961.00,0,2436,0,8.35,1.57,-4.69,0,-9.44,1.00,-0.67
10461.00,0,2436,0,8.62,1.40,-4.97,0,-10.02,0.88,-2.20
10961.00,0,2436,0,7.55,0.92,-5.11,0,-8.67,0.54,-1.71
11826.00,0,2669,0,8.63,1.56,-4.21,0,-10.17,0.83,-0.99
12330.00,0,2669,0,9.46,1.57,-4.83,0,-7.68,0.15,-1.90
12830.00,0,2669,0,9.46,1.57,-4.83,0,-7.68,0.15,-1.90
13330.00,0,2669,0,9.02,0.58,-4.62,0,-9.03,2.16,-2.25
14189.00,0,2893,0,9.26,0.37,-5.20,0,-10.06,1.17,-3.79
14689.00,0,2893,0,9.26,0.37,-5.20,0,-10.06,1.17,-3.79
15189.00,0,2893,0,8.46,0.87,-3.22,0,-8.50,1.04,-3.38
15689.00,0,2893,0,9.15,-0.30,-4.87,0,-7.93,1.12,-3.45
16553.00,0,2223,0,9.61,-0.29,-4.28,0,-9.81,1.40,-2.90
17053.00,0,2223,0,9.61,-0.29,-4.28,0,-9.81,1.40,-2.90
17553.00,0,2223,0,8.70,0.01,-4.83,0,-8.96,1.98,-2.94
18053.00,0,2223,0,8.84,0.84,-4.74,0,-13.27,3.39,-2.08
18917.00,0,1992,0,9.51,1.60,-2.80,0,-9.02,2.59,-2.23
19417.00,0,1992,0,9.51,1.60,-2.80,0,-9.02,2.59,-2.23
19917.00,0,1992,0,9.61,1.54,-2.75,0,-10.77,0.31,-4.41
20417.00,0,1992,0,9.49,1.17,-3.10,0,-9.20,2.48,-2.65
21282.00,0,1386,0,11.06,-1.11,-4.54,0,-13.29,2.63,-4.32
21786.00,0,1386,0,8.68,-2.59,-3.67,0,-7.43,-6.05,-1.87
22286.00,0,1386,0,8.68,-2.59,-3.67,0,-7.43,-6.05,-1.87
22786.00,0,1386,0,8.11,-2.93,-1.56,0,-3.47,-5.08,4.31
23312.00,0,1386,0,7.73,-1.36,-6.47,1,-11.61,4.71,-4.81
23812.00,0,1951,0,7.73,-1.36,-6.47,1,-11.61,4.71,-4.81
24312.00,0,1951,0,6.19,1.16,-9.29,1,-4.64,8.00,-2.64
24812.00,0,1951,0,6.14,3.73,-6.76,1,-3.34,7.89,-2.10
25312.00,0,1951,0,6.61,2.99,-6.74,1,-2.83,8.65,-1.86
26054.00,0,1890,0,6.34,1.25,-8.25,0,-4.66,6.95,-4.64
26554.00,0,1890,0,6.34,1.25,-8.25,0,-4.66,6.95,-4.64
27054.00,0,1890,0,4.17,2.00,-7.94,0,-4.74,7.40,-4.63
27554.00,0,1890,0,6.68,1.43,-8.38,0,-4.42,7.03,-4.32
28416.00,0,1850,0,4.45,1.71,-8.77,0,-4.49,7.27,-4.11
28916.00,0,1850,0,4.45,1.71,-8.77,0,-4.49,7.27,-4.11
29416.00,0,1850,0,4.64,1.45,-8.64,0,-4.61,7.23,-4.30
29916.00,0,1850,0,4.31,1.74,-8.35,0,-4.55,7.17,-4.06
30781.00,0,1970,0,4.80,1.24,-8.53,0,-5.25,6.93,-4.23
31285.00,0,1970,0,3.51,1.82,-8.78,0,-6.56,7.51,-4.45
31785.00,0,1970,0,3.51,1.82,-8.78,0,-6.56,7.51,-4.45
32285.00,0,1970,0,5.02,1.91,-8.32,0,-4.12,7.64,-4.13
33144.00,0,1833,0,6.16,1.43,-6.25,0,-5.81,8.46,-3.38
33644.00,0,1833,0,6.16,1.43,-6.25,0,-5.81,8.46,-3.38
34144.00,0,1833,0,10.34,-4.65,-5.48,0,-3.36,8.01,-3.16
34644.00,0,1833,0,8.12,-4.54,-2.56,0,-4.31,7.88,-2.94
35509.00,0,2189,0,7.55,-6.66,0.36,0,-3.98,8.27,-2.80
36013.00,0,2189,0,10.40,-2.49,-10.05,0,-4.75,6.76,-4.73
36513.00,0,2189,0,10.40,-2.49,-10.05,0,-4.75,6.76,-4.73
37013.00,0,2189,0,3.08,3.43,-7.21,0,-2.09,8.19,-3.20
37872.00,0,1729,0,2.21,2.91,-9.52,0,0.35,9.27,-4.19
38372.00,0,1729,0,2.21,2.91,-9.52,0,0.35,9.27,-4.19
38872.00,0,1729,0,3.77,1.45,-9.06,0,-3.26,8.27,-1.77
39372.00,0,1729,0,3.55,2.50,-8.15,0,-3.97,9.05,-3.83
40237.00,0,718,0,3.45,4.11,-8.23,0,-2.64,7.78,-4.56
40741.00,0,718,0,3.87,4.38,-7.73,0,-5.00,6.78,-6.31
41241.00,0,718,0,3.87,4.38,-7.73,0,-5.00,6.78,-6.31
41741.00,0,718,0,3.69,4.45,-7.82,0,-8.35,5.26,-5.82
42600.00,0,1812,0,4.51,1.70,-9.23,0,-9.27,-2.00,-0.57
43100.00,0,1812,0,4.51,1.70,-9.23,0,-9.27,-2.00,-0.57
43600.00,0,1812,0,4.89,1.44,-7.90,0,-8.62,2.26,-4.78
44100.00,0,1812,0,5.17,2.87,-7.68,0,-7.94,3.34,-5.66
44965.00,0,724,0,7.49,-2.44,-11.46,0,-2.86,9.10,-4.95
45469.00,0,724,0,6.65,-2.16,-7.55,0,-2.84,11.91,-5.65
45969.00,0,724,0,6.65,-2.16,-7.55,0,-2.84,11.91,-5.65
46469.00,0,724,0,6.83,-1.91,-10.66,0,-5.31,12.35,-2.96
47328.00,0,576,0,7.65,-2.70,-8.49,0,-1.65,9.60,-6.83
47828.00,0,576,0,7.65,-2.70,-8.49,0,-1.65,9.60,-6.83
48328.00,0,576,0,4.99,-1.02,-6.89,0,-5.69,6.16,-3.65
48828.00,0,576,0,6.55,-2.60,-4.03,0,-3.43,4.71,-2.62
49694.00,1,175,0,7.55,-3.15,-9.31,0,-4.65,7.35,-6.76
50198.00,1,175,0,10.22,-5.20,-9.06,0,-7.11,6.76,-9.17
50698.00,1,175,0,10.22,-5.20,-9.06,0,-7.11,6.76,-9.17
51198.00,1,175,0,7.51,-3.80,-6.27,0,-6.19,6.06,-6.03
52057.00,0,348,0,8.34,-5.12,-2.27,0,-7.09,5.66,-5.04
52557.00,0,348,0,8.34,-5.12,-2.27,0,-7.09,5.66,-5.04
53057.00,0,348,0,7.23,-5.74,-0.50,0,-7.61,2.86,2.60
53557.00,0,348,0,6.15,-4.66,-0.45,0,-7.50,4.26,-4.56
54421.00,1,214,0,8.14,-3.94,-5.02,0,-1.00,9.06,-2.41
54921.00,1,214,0,8.14,-3.94,-5.02,0,-1.00,9.06,-2.41
55421.00,1,214,0,6.82,-4.84,-4.73,0,1.08,8.82,-2.37
55921.00,1,214,0,7.08,-4.57,-6.31,0,3.30,9.11,0.28
56786.00,1,287,0,7.12,-4.34,-5.55,0,-6.16,10.00,-2.83
57290.00,1,287,0,6.69,-3.98,-6.06,0,-7.90,1.77,-0.35
57790.00,1,287,0,6.69,-3.98,-6.06,0,-7.90,1.77,-0.35
58290.00,1,287,0,6.85,-4.23,-5.27,0,-11.36,3.02,-0.91
59659.00,0,1889,0,7.63,-3.51,-4.84,1,-4.48,7.24,-6.85
60159.00,0,1889,0,7.63,-3.51,-4.84,1,-4.48,7.24,-6.85
